no,Q1,P1,Q2,P2,Q3,P3,Q4,P4,Q5,P5,Q6,P6,Q7,P7,Q8,P8,Q9,P9,Q10,P10,Q11,P11,Q12,P12,Total,CustomerId,Classification
1363,1,5,5,7,3,1,1,1,2,3,4,7,2,3,2,3,2,3,4,7,1,0,2,1,41,1364,Balanced
1364,6,1,4,5,2,2,4,7,3,5,2,3,2,3,3,5,5,9,4,7,2,1,2,1,49,1365,Assertive
1365,4,5,4,5,1,5,4,7,3,5,1,1,1,1,2,3,4,7,2,3,2,1,2,1,44,1366,Assertive
1366,1,5,2,2,1,5,4,7,1,1,4,7,2,3,4,7,4,7,4,7,2,1,1,0,52,1367,Assertive
1367,4,5,4,5,1,5,1,1,3,5,1,1,1,1,2,3,2,3,4,7,2,1,2,1,38,1368,Balanced
1368,5,3,5,7,1,5,3,5,2,3,1,1,4,7,4,7,4,7,1,1,1,0,2,1,47,1369,Assertive
1369,4,5,2,2,3,1,4,7,4,7,3,5,4,7,1,1,2,3,1,1,2,1,2,1,41,1370,Balanced
1370,5,3,2,2,2,2,4,7,1,1,1,1,2,3,2,3,2,3,4,7,2,1,2,1,34,1371,Balanced
1371,1,5,1,1,1,5,1,1,5,9,1,1,3,5,4,7,1,1,4,7,1,0,2,1,43,1372,Assertive
1372,4,5,2,2,3,1,3,5,1,1,4,7,4,7,2,3,5,9,2,3,2,1,2,1,45,1373,Assertive
1373,1,5,4,5,3,1,2,3,1,1,2,3,3,5,4,7,2,3,4,7,1,0,1,0,40,1374,Balanced
1374,5,3,4,5,1,5,1,1,1,1,4,7,4,7,3,5,5,9,1,1,2,1,1,0,45,1375,Assertive
1375,6,1,3,3,3,1,3,5,5,9,2,3,3,5,4,7,5,9,3,5,1,0,2,1,49,1376,Assertive
1376,2,3,4,5,3,1,1,1,3,5,2,3,4,7,2,3,3,5,2,3,1,0,1,0,36,1377,Balanced
1377,5,3,1,1,3,1,3,5,5,9,4,7,1,1,3,5,1,1,2,3,2,1,2,1,38,1378,Balanced
1378,5,3,4,5,1,5,2,3,5,9,1,1,2,3,3,5,3,5,3,5,2,1,1,0,45,1379,Assertive
1379,1,5,4,5,1,5,4,7,1,1,2,3,4,7,2,3,4,7,3,5,1,0,1,0,48,1380,Assertive
1380,1,5,4,5,3,1,3,5,3,5,1,1,3,5,4,7,2,3,3,5,1,0,1,0,42,1381,Assertive
1381,2,3,5,7,2,2,4,7,3,5,2,3,2,3,4,7,3,5,3,5,2,1,2,1,49,1382,Assertive
1382,2,3,4,5,1,5,4,7,1,1,1,1,1,1,1,1,4,7,4,7,2,1,2,1,40,1383,Balanced
1383,3,1,3,3,2,2,2,3,4,7,3,5,2,3,1,1,2,3,1,1,2,1,2,1,31,1384,Balanced
1384,2,3,2,2,1,5,3,5,3,5,3,5,3,5,1,1,2,3,2,3,1,0,1,0,37,1385,Balanced
1385,3,1,3,3,3,1,3,5,2,3,3,5,3,5,3,5,4,7,4,7,1,0,2,1,43,1386,Assertive
1386,2,3,2,2,2,2,3,5,2,3,1,1,3,5,3,5,2,3,4,7,2,1,1,0,37,1387,Balanced
1387,2,3,4,5,1,5,4,7,1,1,1,1,1,1,2,3,2,3,4,7,2,1,1,0,37,1388,Balanced
1388,6,1,3,3,2,2,1,1,3,5,2,3,3,5,1,1,1,1,3,5,2,1,2,1,29,1389,Balanced
1389,1,5,3,3,3,1,2,3,3,5,4,7,3,5,2,3,3,5,2,3,2,1,2,1,42,1390,Assertive
1390,6,1,2,2,1,5,2,3,3,5,3,5,3,5,3,5,2,3,2,3,1,0,2,1,38,1391,Balanced
1391,5,3,2,2,1,5,2,3,4,7,2,3,3,5,1,1,2,3,2,3,2,1,1,0,36,1392,Balanced
1392,2,3,4,5,1,5,3,5,4,7,4,7,3,5,1,1,2,3,4,7,1,0,1,0,48,1393,Assertive
1393,5,3,1,1,3,1,2,3,3,5,1,1,4,7,1,1,2,3,2,3,2,1,1,0,29,1394,Balanced
1394,6,1,4,5,1,5,4,7,5,9,4,7,4,7,4,7,3,5,3,5,2,1,2,1,60,1395,Aggressive
1395,2,3,4,5,3,1,4,7,4,7,3,5,3,5,4,7,1,1,2,3,1,0,2,1,45,1396,Assertive
1396,6,1,4,5,2,2,3,5,3,5,2,3,2,3,3,5,5,9,4,7,1,0,2,1,46,1397,Assertive
1397,6,1,4,5,3,1,1,1,5,9,1,1,3,5,3,5,4,7,2,3,2,1,2,1,40,1398,Balanced
1398,6,1,5,7,1,5,4,7,4,7,2,3,1,1,2,3,5,9,4,7,1,0,1,0,50,1399,Assertive
1399,5,3,1,1,3,1,4,7,1,1,4,7,4,7,4,7,5,9,1,1,1,0,2,1,45,1400,Assertive
1400,6,1,1,1,3,1,3,5,5,9,1,1,2,3,3,5,4,7,1,1,2,1,2,1,36,1401,Balanced
1401,1,5,3,3,1,5,4,7,1,1,3,5,2,3,2,3,1,1,2,3,2,1,2,1,38,1402,Balanced
1402,4,5,5,7,1,5,3,5,5,9,4,7,2,3,3,5,4,7,1,1,1,0,1,0,54,1403,Aggressive
1403,2,3,3,3,2,2,4,7,2,3,3,5,3,5,2,3,1,1,4,7,2,1,1,0,40,1404,Balanced
1404,2,3,1,1,3,1,3,5,5,9,3,5,4,7,4,7,1,1,3,5,2,1,1,0,45,1405,Assertive
1405,4,5,5,7,2,2,3,5,4,7,1,1,1,1,4,7,1,1,1,1,2,1,2,1,39,1406,Balanced
1406,6,1,3,3,2,2,4,7,2,3,1,1,2,3,1,1,5,9,4,7,1,0,1,0,37,1407,Balanced
1407,6,1,2,2,3,1,3,5,3,5,1,1,1,1,4,7,3,5,2,3,1,0,2,1,32,1408,Balanced
1408,3,1,4,5,2,2,3,5,4,7,1,1,2,3,2,3,5,9,2,3,2,1,1,0,40,1409,Balanced
1409,1,5,5,7,1,5,4,7,2,3,3,5,3,5,1,1,3,5,1,1,2,1,1,0,45,1410,Assertive
1410,4,5,4,5,3,1,3,5,1,1,1,1,4,7,4,7,1,1,1,1,2,1,1,0,35,1411,Balanced
1411,2,3,2,2,3,1,3,5,2,3,1,1,1,1,4,7,5,9,3,5,2,1,1,0,38,1412,Balanced
1412,5,3,3,3,2,2,3,5,3,5,2,3,3,5,3,5,5,9,2,3,2,1,2,1,45,1413,Assertive
1413,4,5,2,2,1,5,1,1,1,1,2,3,2,3,4,7,5,9,3,5,2,1,2,1,43,1414,Assertive
1414,2,3,5,7,1,5,4,7,2,3,1,1,3,5,4,7,4,7,4,7,2,1,1,0,53,1415,Assertive
1415,6,1,1,1,2,2,1,1,5,9,2,3,3,5,3,5,1,1,4,7,1,0,1,0,35,1416,Balanced
1416,5,3,2,2,1,5,4,7,1,1,2,3,4,7,3,5,1,1,4,7,1,0,2,1,42,1417,Assertive
1417,4,5,5,7,2,2,4,7,1,1,2,3,4,7,4,7,2,3,1,1,1,0,1,0,43,1418,Assertive
1418,6,1,3,3,2,2,3,5,5,9,2,3,3,5,4,7,5,9,4,7,1,0,1,0,51,1419,Assertive
1419,2,3,5,7,1,5,2,3,3,5,2,3,2,3,4,7,2,3,1,1,1,0,2,1,41,1420,Balanced
1420,6,1,2,2,3,1,2,3,1,1,2,3,2,3,2,3,1,1,3,5,2,1,1,0,24,1421,Conservative
1421,6,1,5,7,2,2,1,1,3,5,4,7,3,5,4,7,3,5,2,3,1,0,2,1,44,1422,Assertive
1422,3,1,5,7,1,5,3,5,1,1,2,3,1,1,1,1,4,7,3,5,1,0,1,0,36,1423,Balanced
1423,2,3,4,5,2,2,2,3,1,1,1,1,3,5,3,5,5,9,1,1,2,1,1,0,36,1424,Balanced
1424,4,5,5,7,1,5,3,5,2,3,3,5,1,1,1,1,5,9,1,1,2,1,1,0,43,1425,Assertive
1425,2,3,4,5,3,1,3,5,5,9,4,7,2,3,3,5,2,3,1,1,2,1,2,1,44,1426,Assertive
1426,2,3,2,2,2,2,2,3,5,9,3,5,4,7,2,3,4,7,2,3,2,1,2,1,46,1427,Assertive
1427,6,1,2,2,3,1,1,1,4,7,2,3,3,5,2,3,3,5,2,3,1,0,2,1,32,1428,Balanced
1428,1,5,4,5,2,2,1,1,2,3,2,3,4,7,2,3,1,1,2,3,1,0,1,0,33,1429,Balanced
1429,6,1,1,1,2,2,1,1,5,9,4,7,1,1,1,1,4,7,2,3,2,1,2,1,35,1430,Balanced
1430,1,5,4,5,1,5,2,3,5,9,2,3,3,5,2,3,5,9,4,7,1,0,2,1,55,1431,Aggressive
1431,2,3,5,7,1,5,2,3,5,9,1,1,3,5,1,1,5,9,3,5,1,0,2,1,49,1432,Assertive
1432,5,3,5,7,1,5,2,3,4,7,2,3,2,3,3,5,4,7,4,7,2,1,1,0,51,1433,Assertive
1433,3,1,1,1,1,5,3,5,3,5,1,1,4,7,1,1,3,5,3,5,1,0,1,0,36,1434,Balanced
1434,4,5,1,1,2,2,2,3,1,1,2,3,2,3,3,5,5,9,3,5,2,1,2,1,39,1435,Balanced
1435,5,3,5,7,3,1,2,3,5,9,3,5,3,5,2,3,1,1,1,1,2,1,1,0,39,1436,Balanced
1436,6,1,3,3,3,1,2,3,3,5,4,7,2,3,1,1,2,3,1,1,2,1,2,1,30,1437,Balanced
1437,5,3,5,7,2,2,3,5,5,9,1,1,1,1,1,1,2,3,4,7,2,1,2,1,41,1438,Balanced
1438,4,5,3,3,1,5,4,7,4,7,4,7,2,3,3,5,5,9,2,3,2,1,2,1,56,1439,Aggressive
1439,5,3,4,5,1,5,4,7,3,5,4,7,2,3,1,1,2,3,4,7,2,1,2,1,48,1440,Assertive
1440,5,3,1,1,3,1,1,1,2,3,3,5,2,3,4,7,2,3,1,1,1,0,2,1,29,1441,Balanced
1441,4,5,2,2,2,2,2,3,1,1,4,7,4,7,2,3,5,9,3,5,1,0,1,0,44,1442,Assertive
1442,4,5,5,7,1,5,3,5,2,3,2,3,3,5,1,1,5,9,3,5,1,0,1,0,48,1443,Assertive
1443,4,5,4,5,3,1,3,5,1,1,3,5,3,5,2,3,2,3,1,1,2,1,2,1,36,1444,Balanced
1444,2,3,1,1,1,5,3,5,3,5,4,7,3,5,2,3,3,5,4,7,2,1,2,1,48,1445,Assertive
1445,4,5,5,7,2,2,4,7,1,1,2,3,4,7,1,1,2,3,2,3,2,1,2,1,41,1446,Balanced
1446,3,1,2,2,3,1,2,3,4,7,1,1,3,5,3,5,5,9,2,3,2,1,2,1,39,1447,Balanced
1447,3,1,1,1,2,2,4,7,1,1,2,3,3,5,4,7,4,7,3,5,2,1,2,1,41,1448,Balanced
1448,4,5,4,5,3,1,2,3,3,5,2,3,3,5,4,7,4,7,4,7,1,0,2,1,49,1449,Assertive
1449,2,3,3,3,3,1,4,7,2,3,4,7,2,3,3,5,2,3,3,5,2,1,1,0,41,1450,Balanced
1450,1,5,4,5,2,2,2,3,2,3,2,3,3,5,3,5,1,1,4,7,2,1,2,1,41,1451,Balanced
1451,6,1,1,1,3,1,2,3,1,1,2,3,1,1,3,5,3,5,2,3,1,0,1,0,24,1452,Conservative
1452,4,5,5,7,3,1,4,7,1,1,1,1,3,5,3,5,2,3,1,1,2,1,2,1,38,1453,Balanced
1453,5,3,4,5,2,2,1,1,1,1,3,5,2,3,2,3,1,1,4,7,2,1,1,0,32,1454,Balanced
1454,5,3,1,1,3,1,2,3,3,5,2,3,2,3,3,5,2,3,4,7,1,0,2,1,35,1455,Balanced
1455,1,5,2,2,1,5,4,7,4,7,4,7,3,5,1,1,2,3,4,7,1,0,1,0,49,1456,Assertive
1456,3,1,1,1,3,1,1,1,4,7,3,5,3,5,4,7,4,7,2,3,2,1,1,0,39,1457,Balanced
1457,1,5,1,1,3,1,3,5,5,9,4,7,3,5,2,3,3,5,3,5,1,0,2,1,47,1458,Assertive
1458,6,1,2,2,3,1,2,3,3,5,3,5,1,1,1,1,5,9,3,5,2,1,1,0,34,1459,Balanced
1459,2,3,3,3,3,1,1,1,1,1,3,5,2,3,1,1,1,1,4,7,2,1,2,1,28,1460,Balanced
1460,5,3,4,5,3,1,1,1,3,5,4,7,2,3,2,3,1,1,3,5,1,0,1,0,34,1461,Balanced
1461,1,5,3,3,2,2,2,3,1,1,3,5,3,5,4,7,1,1,4,7,1,0,2,1,40,1462,Balanced
1462,5,3,5,7,3,1,1,1,2,3,1,1,2,3,2,3,1,1,1,1,2,1,1,0,25,1463,Conservative
1463,6,1,1,1,2,2,3,5,3,5,4,7,4,7,3,5,1,1,2,3,2,1,1,0,38,1464,Balanced
1464,3,1,5,7,2,2,4,7,5,9,1,1,1,1,2,3,1,1,4,7,2,1,2,1,41,1465,Balanced
1465,3,1,1,1,1,5,1,1,5,9,2,3,2,3,2,3,1,1,4,7,2,1,1,0,35,1466,Balanced
1466,6,1,5,7,1,5,2,3,5,9,4,7,3,5,2,3,4,7,2,3,1,0,2,1,51,1467,Assertive
1467,6,1,3,3,3,1,4,7,1,1,2,3,2,3,1,1,2,3,4,7,2,1,2,1,32,1468,Balanced
1468,3,1,3,3,3,1,2,3,4,7,3,5,1,1,4,7,5,9,1,1,2,1,1,0,39,1469,Balanced
1469,3,1,1,1,3,1,1,1,2,3,4,7,1,1,2,3,1,1,4,7,2,1,1,0,27,1470,Balanced
1470,1,5,2,2,3,1,1,1,4,7,2,3,4,7,2,3,1,1,4,7,1,0,1,0,37,1471,Balanced
1471,2,3,1,1,2,2,2,3,1,1,2,3,2,3,2,3,4,7,3,5,1,0,1,0,31,1472,Balanced
1472,3,1,2,2,3,1,1,1,5,9,1,1,3,5,2,3,4,7,2,3,1,0,1,0,33,1473,Balanced
1473,3,1,2,2,1,5,4,7,3,5,1,1,1,1,2,3,5,9,3,5,2,1,2,1,41,1474,Balanced
1474,5,3,3,3,1,5,3,5,2,3,4,7,4,7,4,7,2,3,3,5,2,1,1,0,49,1475,Assertive
1475,3,1,2,2,1,5,3,5,2,3,1,1,3,5,4,7,1,1,2,3,1,0,2,1,34,1476,Balanced
1476,1,5,5,7,1,5,3,5,3,5,1,1,2,3,1,1,1,1,2,3,2,1,2,1,38,1477,Balanced
1477,2,3,3,3,2,2,3,5,3,5,2,3,2,3,1,1,2,3,2,3,1,0,1,0,31,1478,Balanced
1478,2,3,3,3,1,5,4,7,1,1,4,7,1,1,3,5,3,5,4,7,2,1,1,0,45,1479,Assertive
1479,3,1,5,7,3,1,1,1,4,7,2,3,4,7,4,7,1,1,2,3,1,0,2,1,39,1480,Balanced
1480,5,3,2,2,3,1,2,3,3,5,3,5,4,7,2,3,2,3,3,5,1,0,2,1,38,1481,Balanced
1481,6,1,5,7,2,2,2,3,2,3,4,7,4,7,2,3,1,1,2,3,2,1,1,0,38,1482,Balanced
1482,1,5,4,5,3,1,3,5,1,1,3,5,1,1,2,3,5,9,1,1,1,0,2,1,37,1483,Balanced
1483,6,1,5,7,1,5,4,7,2,3,4,7,4,7,3,5,5,9,2,3,2,1,1,0,55,1484,Aggressive
1484,2,3,5,7,1,5,3,5,5,9,2,3,4,7,4,7,5,9,3,5,2,1,2,1,62,1485,Aggressive
1485,6,1,4,5,2,2,3,5,1,1,2,3,2,3,2,3,4,7,1,1,1,0,2,1,32,1486,Balanced
1486,2,3,4,5,2,2,1,1,4,7,2,3,1,1,1,1,2,3,3,5,1,0,1,0,31,1487,Balanced
1487,2,3,1,1,3,1,3,5,5,9,1,1,3,5,4,7,3,5,4,7,2,1,2,1,46,1488,Assertive
1488,4,5,5,7,2,2,2,3,1,1,2,3,1,1,2,3,4,7,3,5,1,0,2,1,38,1489,Balanced
1489,5,3,5,7,2,2,3,5,5,9,4,7,4,7,4,7,4,7,1,1,2,1,2,1,57,1490,Aggressive
1490,2,3,3,3,2,2,1,1,4,7,2,3,4,7,3,5,3,5,4,7,1,0,2,1,44,1491,Assertive
1491,4,5,1,1,1,5,1,1,5,9,2,3,3,5,4,7,5,9,1,1,2,1,2,1,48,1492,Assertive
1492,4,5,1,1,2,2,1,1,5,9,1,1,1,1,3,5,5,9,4,7,1,0,1,0,41,1493,Balanced
1493,6,1,5,7,1,5,3,5,3,5,3,5,4,7,3,5,2,3,1,1,1,0,2,1,45,1494,Assertive
1494,4,5,1,1,2,2,3,5,5,9,4,7,1,1,4,7,2,3,4,7,1,0,2,1,48,1495,Assertive
1495,5,3,5,7,1,5,3,5,4,7,1,1,2,3,1,1,2,3,3,5,1,0,1,0,40,1496,Balanced
1496,5,3,4,5,1,5,1,1,1,1,1,1,2,3,1,1,4,7,3,5,2,1,1,0,33,1497,Balanced
1497,4,5,3,3,1,5,1,1,1,1,3,5,3,5,3,5,5,9,3,5,1,0,2,1,45,1498,Assertive
1498,2,3,4,5,1,5,2,3,4,7,1,1,1,1,3,5,5,9,2,3,1,0,1,0,42,1499,Assertive
1499,3,1,1,1,1,5,4,7,1,1,3,5,4,7,2,3,2,3,4,7,2,1,2,1,42,1500,Assertive
1500,3,1,2,2,1,5,2,3,3,5,3,5,3,5,1,1,5,9,1,1,2,1,1,0,38,1501,Balanced
1501,5,3,4,5,1,5,2,3,4,7,4,7,4,7,2,3,4,7,4,7,2,1,1,0,55,1502,Aggressive
1502,5,3,3,3,3,1,1,1,1,1,2,3,3,5,4,7,1,1,2,3,2,1,2,1,30,1503,Balanced
1503,3,1,3,3,1,5,3,5,5,9,4,7,1,1,4,7,1,1,4,7,2,1,1,0,47,1504,Assertive
1504,4,5,2,2,2,2,1,1,1,1,3,5,4,7,1,1,4,7,3,5,1,0,1,0,36,1505,Balanced
1505,3,1,3,3,2,2,2,3,1,1,4,7,3,5,2,3,4,7,3,5,1,0,1,0,37,1506,Balanced
1506,6,1,5,7,2,2,3,5,3,5,3,5,1,1,4,7,3,5,4,7,2,1,1,0,46,1507,Assertive
1507,4,5,2,2,2,2,2,3,2,3,4,7,4,7,1,1,5,9,2,3,2,1,2,1,44,1508,Assertive
1508,4,5,4,5,1,5,3,5,1,1,3,5,2,3,1,1,5,9,2,3,2,1,2,1,44,1509,Assertive
1509,5,3,3,3,3,1,2,3,1,1,2,3,1,1,3,5,5,9,1,1,2,1,2,1,32,1510,Balanced
1510,3,1,5,7,1,5,1,1,1,1,2,3,3,5,1,1,1,1,2,3,2,1,1,0,29,1511,Balanced
1511,1,5,2,2,3,1,2,3,2,3,2,3,1,1,1,1,1,1,2,3,2,1,1,0,24,1512,Conservative
1512,2,3,4,5,1,5,4,7,5,9,2,3,3,5,2,3,4,7,3,5,1,0,2,1,53,1513,Assertive
1513,2,3,1,1,1,5,1,1,3,5,2,3,2,3,1,1,1,1,4,7,1,0,2,1,31,1514,Balanced
1514,1,5,3,3,2,2,2,3,1,1,2,3,2,3,1,1,4,7,2,3,2,1,1,0,32,1515,Balanced
1515,2,3,3,3,3,1,3,5,4,7,4,7,1,1,4,7,5,9,1,1,2,1,1,0,45,1516,Assertive
1516,6,1,2,2,2,2,2,3,5,9,3,5,1,1,2,3,5,9,3,5,1,0,1,0,40,1517,Balanced
1517,5,3,1,1,1,5,2,3,4,7,2,3,1,1,3,5,4,7,2,3,1,0,1,0,38,1518,Balanced
1518,6,1,1,1,3,1,3,5,3,5,3,5,2,3,4,7,3,5,4,7,2,1,2,1,42,1519,Assertive
1519,3,1,5,7,2,2,2,3,3,5,1,1,2,3,2,3,5,9,1,1,2,1,1,0,36,1520,Balanced
1520,3,1,2,2,3,1,1,1,3,5,1,1,2,3,1,1,5,9,2,3,2,1,1,0,28,1521,Balanced
1521,2,3,2,2,3,1,2,3,4,7,3,5,2,3,2,3,5,9,3,5,1,0,2,1,42,1522,Assertive
1522,6,1,5,7,3,1,3,5,2,3,4,7,2,3,1,1,5,9,1,1,1,0,1,0,38,1523,Balanced
1523,6,1,2,2,1,5,3,5,2,3,3,5,3,5,4,7,1,1,3,5,2,1,1,0,40,1524,Balanced
1524,5,3,5,7,1,5,4,7,3,5,4,7,1,1,1,1,3,5,2,3,2,1,1,0,45,1525,Assertive
1525,2,3,5,7,2,2,4,7,2,3,2,3,1,1,3,5,3,5,3,5,1,0,2,1,42,1526,Assertive
1526,5,3,1,1,3,1,3,5,2,3,2,3,1,1,2,3,3,5,1,1,1,0,1,0,26,1527,Conservative
1527,3,1,4,5,2,2,2,3,3,5,2,3,3,5,3,5,3,5,2,3,1,0,2,1,38,1528,Balanced
1528,1,5,2,2,2,2,4,7,5,9,2,3,4,7,4,7,2,3,3,5,1,0,2,1,51,1529,Assertive
1529,5,3,2,2,3,1,3,5,4,7,1,1,4,7,2,3,5,9,4,7,1,0,2,1,46,1530,Assertive
1530,3,1,3,3,2,2,1,1,5,9,1,1,4,7,1,1,1,1,4,7,2,1,2,1,35,1531,Balanced
1531,3,1,3,3,3,1,2,3,1,1,4,7,1,1,3,5,1,1,2,3,1,0,2,1,27,1532,Balanced
1532,1,5,5,7,1,5,4,7,5,9,4,7,2,3,4,7,1,1,4,7,2,1,1,0,59,1533,Aggressive
1533,5,3,1,1,1,5,3,5,5,9,1,1,4,7,3,5,4,7,3,5,2,1,1,0,49,1534,Assertive
1534,4,5,2,2,1,5,4,7,3,5,4,7,3,5,2,3,2,3,4,7,2,1,1,0,50,1535,Assertive
1535,5,3,1,1,2,2,4,7,3,5,2,3,4,7,2,3,5,9,1,1,1,0,1,0,41,1536,Balanced
1536,1,5,3,3,1,5,1,1,1,1,3,5,4,7,4,7,4,7,3,5,2,1,1,0,47,1537,Assertive
1537,5,3,4,5,1,5,1,1,3,5,2,3,1,1,3,5,3,5,4,7,2,1,2,1,42,1538,Assertive
1538,4,5,5,7,2,2,3,5,2,3,3,5,3,5,4,7,5,9,4,7,1,0,2,1,56,1539,Aggressive
1539,2,3,1,1,2,2,3,5,3,5,3,5,3,5,1,1,2,3,2,3,2,1,1,0,34,1540,Balanced
1540,5,3,4,5,2,2,4,7,3,5,1,1,2,3,4,7,3,5,2,3,1,0,2,1,42,1541,Assertive
1541,6,1,1,1,1,5,4,7,1,1,2,3,2,3,1,1,3,5,1,1,2,1,1,0,29,1542,Balanced
1542,3,1,3,3,2,2,2,3,1,1,4,7,4,7,4,7,3,5,4,7,2,1,2,1,45,1543,Assertive
1543,5,3,2,2,1,5,2,3,5,9,3,5,2,3,2,3,5,9,2,3,2,1,1,0,46,1544,Assertive
1544,5,3,1,1,3,1,4,7,1,1,1,1,3,5,4,7,2,3,3,5,1,0,2,1,35,1545,Balanced
1545,3,1,3,3,3,1,3,5,2,3,4,7,2,3,2,3,3,5,1,1,2,1,1,0,33,1546,Balanced
1546,5,3,4,5,1,5,1,1,1,1,2,3,2,3,1,1,4,7,2,3,1,0,2,1,33,1547,Balanced
1547,5,3,3,3,1,5,2,3,2,3,4,7,2,3,2,3,4,7,1,1,2,1,1,0,39,1548,Balanced
1548,3,1,5,7,1,5,4,7,2,3,3,5,2,3,3,5,4,7,2,3,1,0,1,0,46,1549,Assertive
1549,5,3,2,2,1,5,3,5,2,3,3,5,1,1,1,1,5,9,2,3,2,1,1,0,38,1550,Balanced
1550,4,5,4,5,1,5,1,1,5,9,2,3,3,5,1,1,3,5,4,7,1,0,2,1,47,1551,Assertive
1551,4,5,5,7,3,1,2,3,5,9,1,1,1,1,1,1,2,3,4,7,2,1,1,0,39,1552,Balanced
1552,4,5,1,1,1,5,1,1,1,1,3,5,4,7,1,1,3,5,2,3,1,0,2,1,35,1553,Balanced
1553,5,3,3,3,2,2,1,1,5,9,1,1,3,5,3,5,4,7,1,1,2,1,1,0,38,1554,Balanced
1554,4,5,5,7,1,5,2,3,4,7,4,7,4,7,2,3,3,5,2,3,2,1,2,1,54,1555,Aggressive
1555,4,5,3,3,3,1,1,1,4,7,2,3,2,3,3,5,2,3,2,3,2,1,2,1,36,1556,Balanced
1556,3,1,4,5,1,5,4,7,1,1,2,3,1,1,1,1,2,3,1,1,1,0,1,0,28,1557,Balanced
1557,1,5,4,5,3,1,3,5,3,5,2,3,1,1,1,1,5,9,2,3,1,0,1,0,38,1558,Balanced
1558,2,3,5,7,1,5,3,5,3,5,2,3,3,5,3,5,4,7,3,5,2,1,1,0,51,1559,Assertive
1559,2,3,3,3,3,1,4,7,4,7,2,3,4,7,2,3,4,7,3,5,2,1,1,0,47,1560,Assertive
1560,3,1,4,5,1,5,2,3,4,7,2,3,2,3,4,7,4,7,3,5,2,1,1,0,47,1561,Assertive
1561,1,5,1,1,1,5,2,3,1,1,3,5,4,7,3,5,4,7,2,3,1,0,2,1,43,1562,Assertive
1562,2,3,5,7,3,1,1,1,4,7,2,3,4,7,2,3,5,9,2,3,1,0,2,1,45,1563,Assertive
1563,4,5,1,1,2,2,4,7,1,1,4,7,3,5,3,5,2,3,3,5,1,0,2,1,42,1564,Assertive
1564,6,1,3,3,2,2,4,7,3,5,3,5,2,3,3,5,1,1,1,1,1,0,1,0,33,1565,Balanced
1565,2,3,1,1,3,1,3,5,4,7,1,1,4,7,4,7,3,5,4,7,2,1,2,1,46,1566,Assertive
1566,5,3,3,3,3,1,3,5,3,5,1,1,4,7,2,3,3,5,3,5,1,0,2,1,39,1567,Balanced
1567,4,5,5,7,3,1,2,3,2,3,4,7,4,7,1,1,1,1,3,5,2,1,1,0,41,1568,Balanced
1568,5,3,2,2,3,1,1,1,4,7,1,1,4,7,1,1,5,9,3,5,2,1,1,0,38,1569,Balanced
1569,1,5,4,5,2,2,1,1,1,1,3,5,4,7,1,1,2,3,3,5,1,0,2,1,36,1570,Balanced
1570,4,5,1,1,1,5,3,5,1,1,1,1,2,3,1,1,1,1,2,3,2,1,1,0,27,1571,Balanced
1571,3,1,5,7,2,2,1,1,2,3,2,3,2,3,2,3,2,3,2,3,1,0,1,0,29,1572,Balanced
1572,3,1,2,2,1,5,4,7,1,1,4,7,4,7,4,7,1,1,3,5,1,0,2,1,44,1573,Assertive
1573,1,5,2,2,3,1,2,3,1,1,4,7,4,7,3,5,2,3,2,3,2,1,2,1,39,1574,Balanced
1574,3,1,5,7,3,1,3,5,1,1,2,3,4,7,2,3,3,5,2,3,1,0,2,1,37,1575,Balanced
1575,2,3,2,2,3,1,4,7,1,1,1,1,1,1,3,5,3,5,4,7,2,1,2,1,35,1576,Balanced
1576,1,5,1,1,3,1,3,5,5,9,1,1,1,1,3,5,2,3,2,3,2,1,2,1,36,1577,Balanced
1577,2,3,4,5,1,5,3,5,4,7,3,5,1,1,1,1,4,7,3,5,1,0,1,0,44,1578,Assertive
1578,6,1,5,7,3,1,3,5,1,1,4,7,2,3,1,1,5,9,4,7,2,1,2,1,44,1579,Assertive
1579,6,1,3,3,2,2,3,5,4,7,2,3,4,7,3,5,2,3,2,3,2,1,1,0,40,1580,Balanced
1580,3,1,2,2,3,1,4,7,3,5,2,3,4,7,2,3,5,9,3,5,1,0,1,0,43,1581,Assertive
1581,1,5,1,1,2,2,4,7,1,1,1,1,1,1,3,5,4,7,4,7,2,1,1,0,38,1582,Balanced
1582,2,3,4,5,1,5,1,1,1,1,1,1,3,5,3,5,1,1,1,1,1,0,2,1,29,1583,Balanced
1583,5,3,3,3,2,2,4,7,2,3,1,1,3,5,2,3,1,1,2,3,1,0,2,1,32,1584,Balanced
1584,3,1,2,2,2,2,3,5,2,3,3,5,3,5,2,3,1,1,3,5,2,1,1,0,33,1585,Balanced
1585,5,3,5,7,3,1,3,5,3,5,3,5,2,3,3,5,4,7,4,7,1,0,1,0,48,1586,Assertive
1586,3,1,1,1,3,1,2,3,4,7,4,7,2,3,1,1,2,3,4,7,1,0,1,0,34,1587,Balanced
1587,5,3,3,3,2,2,1,1,1,1,3,5,1,1,1,1,4,7,3,5,1,0,1,0,29,1588,Balanced
1588,1,5,5,7,3,1,1,1,4,7,1,1,1,1,2,3,5,9,2,3,1,0,1,0,38,1589,Balanced
1589,2,3,4,5,1,5,4,7,1,1,1,1,4,7,3,5,1,1,2,3,1,0,2,1,39,1590,Balanced
