,nature,outlier,stocks
2029,Balanced,"[31, 33]","[36, 16, 53, 23, 31, 27, 48, 21, 28, 24, 18, 26, 40, 51, 29, 25, 33, 45]"
2030,Assertive,"[37, 32, 49, 43]","[20, 33, 37, 32, 30, 49, 22, 15, 17, 40, 31, 25, 54, 8, 43]"
2031,Conservative,"[31, 42, 21, 29, 37, 26, 44]","[34, 54, 31, 42, 36, 21, 51, 29, 28, 37, 26, 44]"
2032,Assertive,"[32, 23]","[36, 32, 28, 34, 50, 23, 15, 52, 22, 24, 26]"
2033,Assertive,"[9, 39, 12, 37, 27]","[29, 40, 26, 33, 18, 9, 39, 47, 12, 14, 37, 27, 5, 31, 36, 19, 6, 34]"
2034,Balanced,"[31, 37]","[21, 25, 52, 20, 31, 23, 24, 35, 57, 27, 9, 37, 50, 47, 36]"
2035,Balanced,"[55, 43]","[55, 14, 36, 27, 25, 19, 24, 29, 46, 53, 32, 45, 43, 26, 44, 30, 38, 12]"
2036,Balanced,"[33, 11]","[28, 48, 46, 33, 44, 23, 50, 40, 32, 29, 11]"
2037,Assertive,"[41, 32]","[57, 56, 21, 41, 38, 20, 40, 7, 26, 17, 52, 48, 53, 35, 32, 36, 42, 29]"
2038,Balanced,"[37, 11]","[41, 17, 27, 37, 34, 36, 30, 42, 47, 26, 46, 38, 11]"
2039,Assertive,"[41, 32, 37, 10]","[28, 41, 32, 35, 44, 22, 26, 42, 19, 37, 54, 34, 24, 10, 21]"
2040,Balanced,[31],"[40, 49, 20, 27, 8, 25, 42, 56, 18, 26, 38, 28, 21, 4, 41, 31]"
2041,Balanced,"[39, 43, 37]","[58, 39, 34, 43, 29, 36, 50, 30, 46, 32, 21, 37, 15, 17, 14, 48, 25, 38]"
2042,Balanced,"[33, 31]","[41, 34, 23, 29, 51, 33, 31, 25, 48, 30, 22, 57, 21, 38, 26, 28]"
2043,Assertive,"[37, 41]","[37, 20, 40, 22, 19, 42, 33, 41, 24, 16]"
2044,Balanced,"[31, 43, 33, 37]","[8, 31, 36, 21, 40, 43, 32, 30, 16, 45, 29, 23, 28, 33, 54, 37]"
2045,Assertive,[27],"[47, 21, 34, 42, 28, 24, 36, 27, 35, 30]"
2046,Assertive,"[37, 39, 49, 27]","[37, 45, 39, 49, 31, 29, 27, 36, 30, 17, 34, 21, 42, 38, 59]"
2047,Balanced,"[11, 43, 37, 33]","[24, 11, 49, 43, 47, 42, 19, 56, 36, 25, 51, 37, 12, 33, 16, 46, 40, 32]"
2048,Balanced,[37],"[42, 51, 20, 15, 37, 36, 24, 21, 40, 35, 45, 46, 32, 26, 48]"
2049,Aggressive,"[41, 10, 46, 23, 28, 30, 48]","[33, 41, 40, 10, 29, 17, 46, 38, 23, 28, 30, 48, 20]"
2050,Balanced,"[31, 6, 13, 11]","[47, 31, 35, 28, 6, 19, 7, 48, 29, 15, 13, 42, 27, 25, 49, 32, 36, 11]"
2051,Balanced,"[37, 13, 33, 39]","[36, 37, 13, 20, 33, 32, 39, 40, 26, 22, 25, 27, 28, 38, 49]"
2052,Balanced,"[31, 55]","[42, 31, 48, 26, 32, 52, 35, 28, 55, 21, 29, 38, 25]"
2053,Balanced,"[37, 33, 43]","[37, 49, 26, 53, 20, 27, 33, 30, 21, 46, 43, 24]"
2054,Balanced,"[43, 39, 33, 37, 13]","[41, 27, 18, 34, 5, 10, 43, 35, 20, 44, 39, 51, 33, 40, 38, 37, 42, 13]"
2055,Balanced,[],"[28, 46, 32, 36, 35, 19, 41, 8, 14, 29, 50, 51, 21]"
2056,Balanced,"[33, 37, 11]","[35, 33, 24, 27, 18, 9, 36, 37, 38, 29, 20, 11, 25, 49, 52, 50, 41, 28, 23, 32, 10]"
2057,Assertive,"[41, 27, 13]","[41, 33, 27, 26, 21, 13, 31, 34, 19, 15, 47, 24, 29, 48]"
2058,Balanced,"[33, 60]","[36, 15, 33, 23, 60, 44, 29, 28, 40, 18, 57, 52, 16, 35, 50]"
2059,Balanced,[60],"[52, 17, 32, 60, 21, 5, 23, 41, 47, 30, 19, 50]"
2060,Balanced,"[33, 37, 43]","[44, 33, 21, 23, 48, 37, 49, 52, 43, 45, 18, 41, 32, 22, 40]"
2061,Conservative,"[55, 42, 14, 31, 40, 29]","[55, 24, 34, 28, 16, 42, 14, 19, 31, 40, 29]"
2062,Assertive,"[27, 32]","[21, 47, 26, 36, 30, 17, 56, 29, 27, 22, 25, 32, 38, 19]"
2063,Assertive,"[23, 27]","[53, 52, 33, 35, 21, 30, 23, 27]"
2064,Assertive,"[39, 32]","[47, 39, 36, 53, 20, 48, 32]"
2065,Balanced,"[43, 39, 31]","[41, 18, 25, 10, 32, 43, 45, 15, 29, 24, 19, 39, 31, 8, 58]"
2066,Assertive,"[11, 27, 41]","[11, 47, 18, 29, 24, 36, 19, 34, 27, 21, 30, 41, 56, 31, 48]"
2067,Assertive,[43],"[17, 59, 43, 18, 50, 22, 56, 38, 30, 47, 36]"
2068,Balanced,"[43, 33]","[36, 18, 32, 43, 23, 16, 52, 26, 33, 29, 14, 50, 34, 42, 47]"
2069,Balanced,"[33, 43]","[20, 36, 33, 54, 16, 15, 30, 12, 26, 49, 47, 43, 44]"
2070,Assertive,"[32, 49, 39, 13, 27, 37]","[20, 32, 49, 39, 28, 13, 14, 47, 25, 33, 21, 29, 19, 56, 27, 40, 48, 36, 37]"
2071,Balanced,"[39, 6]","[32, 24, 41, 30, 38, 9, 45, 39, 46, 6, 27, 36, 21, 25, 22, 23]"
2072,Balanced,"[11, 33, 37, 39, 55]","[27, 22, 42, 11, 38, 26, 29, 33, 37, 32, 39, 18, 34, 55, 44, 51]"
2073,Balanced,[33],"[17, 27, 24, 35, 33, 48, 18, 40, 29]"
2074,Balanced,[33],"[53, 12, 36, 49, 14, 22, 9, 32, 33, 19, 29]"
2075,Assertive,"[39, 37, 23]","[18, 28, 35, 39, 33, 37, 17, 7, 31, 25, 34, 23, 15, 26]"
2076,Balanced,"[43, 55]","[15, 34, 43, 9, 40, 12, 25, 36, 55, 26, 35, 30, 27, 24]"
2077,Assertive,"[41, 49, 32, 27, 37]","[26, 53, 34, 41, 40, 16, 20, 49, 32, 27, 42, 33, 24, 37]"
2078,Conservative,"[47, 42, 35, 25, 44, 6, 15, 43]","[41, 27, 47, 19, 42, 35, 54, 25, 44, 6, 15, 43, 8]"
2079,Assertive,"[39, 32, 23]","[28, 25, 39, 32, 23, 19, 29, 15, 26, 47, 20]"
2080,Assertive,"[23, 32]","[42, 56, 18, 23, 36, 44, 40, 32, 22, 38, 15, 34]"
2081,Assertive,"[13, 9, 27, 37, 41, 11]","[21, 13, 9, 19, 14, 27, 35, 40, 37, 45, 28, 41, 11]"
2082,Assertive,"[32, 37, 39]","[34, 32, 37, 30, 33, 47, 31, 25, 15, 39, 22, 58]"
2083,Balanced,"[33, 37]","[21, 27, 17, 41, 33, 44, 26, 32, 10, 34, 37]"
2084,Balanced,"[39, 33, 37]","[47, 48, 54, 39, 33, 29, 26, 35, 37, 36, 41, 30, 25, 22, 52]"
2085,Balanced,"[43, 33]","[29, 14, 53, 32, 51, 27, 25, 18, 17, 43, 33]"
2086,Balanced,"[13, 37]","[13, 14, 18, 35, 20, 41, 15, 34, 17, 38, 44, 37, 12, 32, 25]"
2087,Balanced,[13],"[47, 34, 29, 41, 48, 13, 20, 30, 21]"
2088,Balanced,"[31, 39, 43]","[45, 31, 21, 39, 16, 24, 47, 18, 43, 46, 20, 12, 54, 44, 40]"
2089,Balanced,"[31, 43]","[32, 51, 28, 31, 25, 43, 42, 53, 22, 35, 36, 24, 49, 19, 30]"
2090,Balanced,"[13, 37]","[15, 47, 13, 40, 27, 44, 7, 37, 28, 14]"
2091,Balanced,"[31, 11, 37, 33, 43]","[45, 46, 44, 52, 30, 14, 18, 12, 31, 11, 35, 37, 33, 16, 34, 32, 43, 54, 41]"
2092,Balanced,"[37, 39, 31]","[5, 29, 37, 27, 21, 39, 48, 31, 44, 40, 34, 24, 36, 18, 41, 35]"
2093,Assertive,"[27, 10, 23, 11, 39, 13]","[27, 10, 22, 28, 45, 23, 11, 39, 36, 35, 59, 13, 29, 21]"
2094,Aggressive,"[51, 23, 46, 32, 30]","[31, 22, 51, 39, 23, 14, 35, 29, 46, 17, 32, 38, 30]"
2095,Balanced,[43],"[43, 21, 27, 22, 20, 28, 18, 56, 50, 46, 16, 49, 58, 44, 25, 30]"
2096,Balanced,"[33, 31, 6]","[38, 49, 14, 33, 46, 30, 20, 31, 17, 27, 41, 35, 6, 15]"
2097,Assertive,"[39, 37, 23, 41]","[30, 38, 39, 37, 35, 16, 44, 28, 20, 31, 47, 17, 23, 51, 41, 52, 42, 34]"
2098,Aggressive,"[32, 45, 28]","[37, 42, 25, 20, 32, 29, 26, 45, 44, 38, 39, 47, 43, 28]"
2099,Balanced,"[37, 31, 33, 39]","[37, 36, 20, 47, 25, 26, 27, 52, 53, 15, 31, 57, 58, 33, 39, 42, 38, 28]"
2100,Assertive,"[27, 39, 12, 43, 13]","[27, 31, 39, 12, 24, 19, 42, 51, 40, 43, 17, 13]"
2101,Balanced,"[31, 33, 55, 13]","[18, 31, 28, 48, 52, 33, 45, 55, 21, 13, 41, 9, 36, 22, 17, 25, 14, 27]"
2102,Balanced,"[13, 43]","[22, 12, 13, 29, 46, 16, 30, 44, 32, 41, 36, 43, 49, 25, 42]"
2103,Assertive,"[41, 27, 32, 11, 37, 46]","[17, 41, 27, 33, 32, 21, 26, 20, 34, 16, 30, 48, 53, 11, 37, 38, 46]"
2104,Assertive,"[23, 49, 27, 12]","[23, 49, 53, 40, 45, 26, 52, 48, 18, 20, 34, 27, 12, 31]"
2105,Assertive,"[32, 41, 39]","[21, 14, 45, 30, 6, 32, 28, 40, 25, 41, 51, 39]"
2106,Assertive,"[39, 46, 37]","[39, 46, 33, 37, 31, 26, 28, 29, 35, 15, 19, 20, 45, 17, 21, 51]"
2107,Assertive,"[39, 43, 9]","[18, 34, 39, 28, 24, 15, 22, 4, 16, 43, 50, 17, 9, 5, 42]"
2108,Assertive,"[37, 43, 13]","[19, 29, 18, 15, 30, 14, 37, 21, 33, 20, 31, 45, 43, 25, 35, 57, 13]"
2109,Balanced,"[11, 43, 37, 33]","[11, 26, 43, 42, 34, 53, 29, 37, 24, 35, 50, 33, 32, 12]"
2110,Assertive,"[12, 37]","[45, 56, 35, 20, 18, 34, 21, 31, 19, 30, 33, 12, 15, 44, 37]"
2111,Assertive,"[32, 23, 37]","[29, 17, 15, 33, 22, 44, 14, 32, 23, 34, 37, 48, 35, 40]"
2112,Conservative,"[22, 25, 40, 13, 52, 50, 33, 15]","[22, 25, 9, 40, 45, 46, 13, 32, 30, 52, 50, 49, 36, 33, 48, 15]"
2113,Balanced,[31],"[40, 22, 32, 31, 23, 18, 35, 24, 17, 51, 41, 28, 53, 29]"
2114,Assertive,"[13, 27, 32, 49, 12]","[13, 42, 27, 32, 33, 8, 49, 28, 18, 53, 14, 54, 22, 52, 50, 30, 45, 29, 12]"
2115,Balanced,[],"[34, 30, 29, 38, 25, 22, 19, 21, 20, 36]"
2116,Balanced,"[13, 43]","[54, 13, 35, 15, 30, 50, 28, 24, 48, 36, 38, 40, 43, 27]"
2117,Assertive,"[10, 41, 32]","[10, 55, 41, 28, 47, 16, 31, 32, 42, 50]"
2118,Balanced,"[33, 43]","[42, 34, 22, 33, 21, 30, 24, 25, 38, 35, 46, 23, 40, 36, 43]"
2119,Balanced,"[43, 39]","[19, 26, 15, 53, 48, 46, 43, 30, 18, 39, 4, 25, 36]"
2120,Balanced,"[43, 39]","[53, 43, 36, 8, 30, 38, 27, 49, 39]"
2121,Balanced,"[13, 43]","[13, 28, 43, 23, 35, 45, 46, 20, 10, 42, 34, 40]"
2122,Assertive,"[32, 23, 37, 27]","[34, 44, 15, 32, 23, 24, 19, 28, 37, 27, 33, 30]"
2123,Assertive,"[41, 39]","[17, 41, 39, 38, 25, 21, 50, 15, 18, 30, 19, 29, 34]"
2124,Assertive,"[27, 43, 32]","[21, 33, 27, 28, 30, 36, 29, 54, 15, 51, 43, 25, 32, 35]"
2125,Assertive,"[23, 39, 32]","[30, 44, 18, 23, 28, 29, 39, 31, 47, 48, 42, 32]"
2126,Assertive,"[39, 32, 49, 13, 37]","[22, 31, 47, 30, 50, 26, 39, 32, 49, 13, 29, 17, 52, 20, 37]"
2127,Balanced,"[33, 39]","[36, 17, 28, 29, 33, 26, 44, 24, 32, 35, 39, 50, 7]"
2128,Balanced,"[11, 13, 33]","[23, 11, 24, 5, 13, 36, 52, 35, 14, 33, 27, 19, 21, 29]"
2129,Assertive,"[39, 27, 49]","[24, 39, 27, 33, 42, 52, 34, 38, 14, 49, 45]"
2130,Balanced,"[33, 39, 37]","[23, 41, 20, 33, 39, 56, 37, 54, 27, 32, 29, 19, 8, 46, 51, 48]"
2131,Assertive,"[23, 11, 39]","[29, 28, 35, 57, 48, 23, 44, 11, 38, 5, 31, 19, 21, 22, 25, 18, 16, 36, 52, 39, 54]"
2132,Assertive,"[37, 9, 32, 27]","[37, 28, 40, 31, 51, 9, 14, 25, 54, 34, 32, 30, 27, 55]"
2133,Assertive,"[23, 9, 39, 32]","[23, 36, 9, 18, 57, 52, 34, 58, 54, 7, 39, 33, 47, 32]"
2134,Balanced,"[31, 37, 13]","[17, 27, 53, 25, 30, 36, 29, 28, 41, 31, 37, 49, 21, 32, 13, 42, 24, 44]"
2135,Balanced,"[37, 55, 43, 31]","[44, 37, 23, 27, 47, 53, 29, 55, 42, 58, 40, 12, 19, 43, 31, 25, 30, 35, 32, 28]"
2136,Balanced,"[31, 43, 37]","[24, 20, 51, 47, 44, 31, 27, 43, 38, 35, 40, 26, 17, 29, 50, 37]"
2137,Assertive,"[37, 46, 32, 9, 41]","[37, 36, 35, 46, 32, 16, 38, 40, 42, 9, 29, 51, 41]"
2138,Aggressive,"[49, 36, 18]","[33, 29, 21, 17, 49, 36, 13, 14, 44, 18, 42, 57]"
2139,Balanced,[39],"[27, 35, 22, 42, 21, 52, 46, 39, 54, 53]"
2140,Balanced,"[37, 39, 31]","[14, 32, 37, 38, 45, 24, 23, 39, 31, 47, 28, 22, 17, 30, 59, 29]"
2141,Balanced,"[37, 43]","[25, 28, 24, 22, 15, 49, 52, 41, 27, 8, 38, 30, 42, 37, 17, 46, 20, 44, 43, 29]"
2142,Assertive,"[43, 46, 27, 37]","[38, 22, 15, 34, 43, 46, 42, 27, 26, 51, 37]"
2143,Balanced,"[37, 43, 31]","[26, 41, 23, 16, 29, 48, 42, 45, 25, 35, 56, 37, 36, 43, 14, 31]"
2144,Balanced,"[43, 33, 31, 37]","[29, 32, 27, 14, 5, 36, 35, 43, 33, 31, 12, 28, 37]"
2145,Assertive,"[41, 43, 27, 32]","[22, 47, 21, 25, 20, 51, 30, 53, 33, 41, 43, 27, 31, 35, 32, 38, 5]"
2146,Assertive,"[13, 46, 10, 27]","[40, 54, 35, 15, 56, 58, 24, 13, 46, 28, 26, 10, 27, 16, 20]"
2147,Balanced,"[31, 43]","[42, 24, 52, 32, 35, 49, 46, 48, 31, 27, 18, 43, 14]"
2148,Assertive,"[39, 10, 11]","[30, 35, 40, 39, 38, 26, 33, 15, 10, 36, 16, 22, 31, 45, 17, 42, 25, 50, 11, 52]"
2149,Balanced,[],"[32, 49, 35, 23, 46, 36, 26, 44, 56, 38]"
2150,Balanced,"[33, 39]","[29, 46, 15, 53, 35, 20, 57, 9, 33, 23, 44, 30, 14, 38, 24, 39]"
2151,Balanced,"[31, 39, 55, 33]","[31, 26, 39, 32, 18, 44, 10, 27, 35, 55, 33]"
2152,Assertive,"[39, 23, 46, 37, 11, 49, 41, 12, 27]","[29, 31, 36, 38, 28, 39, 35, 23, 46, 37, 30, 11, 19, 49, 45, 33, 41, 12, 44, 27, 14, 6]"
2153,Assertive,[23],"[56, 22, 31, 15, 25, 40, 23, 54, 33, 34, 44, 26]"
2154,Balanced,"[33, 11, 37]","[48, 59, 28, 36, 17, 34, 46, 21, 25, 18, 10, 33, 29, 38, 11, 42, 37, 32, 22]"
2155,Assertive,"[46, 39, 12]","[46, 34, 39, 12, 38, 44, 6, 18, 35, 24, 42, 14, 30, 16, 17]"
2156,Balanced,"[33, 43, 39, 37]","[33, 23, 26, 43, 19, 32, 16, 36, 39, 37, 10, 30, 45, 20]"
2157,Conservative,"[31, 40, 25, 21, 44, 22, 37, 29, 43, 53, 20]","[56, 36, 28, 31, 40, 25, 49, 21, 44, 22, 37, 29, 43, 27, 53, 20]"
2158,Balanced,"[39, 31, 43, 33, 13]","[35, 39, 36, 41, 47, 15, 34, 31, 40, 43, 33, 13, 24, 21]"
2159,Assertive,"[39, 13, 32, 37]","[55, 48, 39, 13, 25, 16, 51, 26, 32, 52, 37, 40, 30]"
2160,Aggressive,"[34, 30, 48, 41, 19]","[42, 34, 30, 48, 43, 33, 41, 53, 19, 35, 52, 37]"
2161,Assertive,"[27, 23, 46, 39, 9]","[58, 27, 53, 28, 35, 44, 23, 40, 25, 38, 30, 46, 48, 39, 9, 18]"
2162,Assertive,"[23, 37, 43, 32]","[20, 24, 50, 55, 38, 23, 42, 28, 37, 26, 43, 32]"
2163,Assertive,"[9, 60, 32, 37, 46]","[18, 48, 9, 60, 22, 38, 32, 42, 37, 46, 52]"
2164,Assertive,"[41, 46, 23, 39]","[16, 31, 24, 29, 47, 25, 36, 40, 48, 17, 34, 41, 42, 46, 23, 39, 21]"
2165,Assertive,"[43, 13, 32]","[38, 31, 28, 47, 42, 22, 43, 35, 13, 25, 48, 29, 32, 16, 44, 40]"
2166,Balanced,"[37, 33]","[48, 50, 42, 30, 32, 53, 37, 34, 47, 22, 33, 52, 28, 18, 25, 9]"
2167,Balanced,"[31, 39]","[47, 23, 19, 42, 31, 30, 20, 36, 17, 52, 12, 32, 41, 16, 39]"
2168,Balanced,[],"[38, 20, 45, 16, 48, 51, 32, 44, 24, 47, 34, 29, 46]"
2169,Balanced,"[43, 6, 39, 55]","[54, 16, 35, 30, 43, 48, 28, 6, 24, 39, 17, 26, 42, 55, 46, 41]"
2170,Balanced,"[11, 43, 39]","[11, 10, 43, 56, 26, 29, 16, 30, 45, 36, 22, 39, 19]"
2171,Balanced,"[43, 31, 37, 33]","[47, 30, 20, 22, 43, 18, 49, 27, 31, 37, 35, 33, 38, 24, 46]"
2172,Assertive,"[46, 41, 12]","[25, 24, 19, 15, 38, 26, 51, 46, 41, 34, 36, 7, 12]"
2173,Balanced,"[13, 31]","[35, 22, 21, 36, 13, 45, 25, 42, 34, 27, 40, 31, 26, 46, 28, 23]"
2174,Assertive,"[27, 13, 41, 37, 46]","[27, 18, 31, 13, 58, 41, 30, 37, 46, 25, 21, 42, 8, 34, 33, 50, 29, 19]"
2175,Balanced,"[37, 11, 6, 31]","[37, 45, 32, 54, 29, 35, 20, 27, 18, 11, 12, 28, 6, 21, 31, 46, 15]"
2176,Assertive,"[43, 32, 41, 39, 37, 10, 13]","[33, 48, 28, 43, 32, 24, 34, 41, 25, 39, 40, 37, 42, 44, 51, 10, 54, 13]"
2177,Aggressive,"[9, 28, 23, 48, 45, 10]","[42, 21, 38, 9, 28, 22, 25, 23, 26, 48, 45, 33, 44, 47, 10]"
2178,Balanced,"[39, 11, 13, 37, 33]","[36, 30, 21, 38, 50, 39, 46, 11, 35, 17, 13, 37, 27, 33, 34, 59]"
2179,Balanced,[11],"[18, 20, 12, 26, 41, 36, 28, 11, 27, 34, 10, 30, 40, 45, 53, 25, 22]"
2180,Assertive,"[32, 23, 41, 27]","[47, 18, 51, 19, 50, 34, 32, 36, 31, 56, 35, 40, 44, 23, 17, 48, 41, 42, 30, 8, 45, 27, 33]"
2181,Assertive,"[27, 46, 13]","[36, 33, 22, 27, 38, 46, 25, 26, 20, 16, 31, 30, 13]"
2182,Balanced,"[33, 31, 37]","[57, 36, 22, 53, 50, 32, 21, 14, 33, 31, 9, 42, 37]"
2183,Balanced,"[55, 39, 31, 43, 33]","[5, 55, 49, 57, 39, 10, 38, 31, 44, 26, 9, 28, 43, 33]"
2184,Assertive,"[12, 27, 23, 37, 39]","[28, 12, 31, 26, 35, 47, 50, 27, 36, 23, 37, 39]"
2185,Balanced,"[60, 37, 13, 55]","[27, 35, 28, 29, 45, 60, 37, 44, 46, 17, 13, 41, 56, 25, 38, 55, 22, 9]"
2186,Assertive,"[46, 39, 37, 32]","[46, 28, 31, 26, 38, 25, 33, 30, 39, 18, 45, 22, 34, 37, 32, 40]"
2187,Conservative,"[35, 22, 37, 33, 58, 21, 44]","[18, 34, 46, 35, 22, 30, 37, 33, 19, 48, 58, 21, 44]"
2188,Assertive,"[23, 39, 27]","[28, 51, 15, 23, 18, 48, 52, 26, 25, 22, 39, 38, 27, 35, 55]"
2189,Assertive,"[23, 13, 41, 27]","[23, 28, 31, 16, 50, 26, 51, 13, 41, 27, 18]"
2190,Balanced,"[39, 55, 33]","[22, 20, 41, 23, 39, 55, 17, 46, 52, 34, 58, 33, 38, 30, 47, 42]"
2191,Balanced,"[31, 39, 55, 13]","[50, 44, 31, 35, 46, 39, 36, 55, 28, 32, 29, 20, 42, 16, 34, 13, 25]"
2192,Balanced,"[11, 31]","[20, 46, 29, 35, 22, 45, 24, 48, 27, 8, 38, 11, 28, 31, 19]"
2193,Balanced,"[37, 39, 31, 43, 33]","[27, 22, 49, 52, 37, 20, 39, 21, 24, 31, 12, 28, 47, 43, 30, 19, 33, 15, 32]"
2194,Balanced,"[43, 13, 6]","[8, 51, 43, 13, 41, 22, 28, 14, 47, 48, 30, 35, 40, 5, 36, 45, 32, 18, 6]"
2195,Balanced,"[43, 33, 37]","[32, 34, 27, 43, 30, 44, 15, 38, 33, 35, 29, 14, 37]"
2196,Balanced,[11],"[49, 29, 45, 22, 40, 25, 38, 18, 14, 11, 32, 42, 46]"
2197,Balanced,"[43, 39, 33]","[43, 28, 39, 30, 36, 38, 33, 46, 32, 47, 21, 53, 24, 51, 41, 29]"
2198,Assertive,"[23, 27, 41, 46]","[23, 38, 27, 30, 31, 40, 41, 42, 44, 46, 17, 22, 34, 29]"
2199,Balanced,"[55, 37]","[25, 22, 29, 44, 50, 55, 52, 53, 9, 42, 34, 36, 30, 24, 12, 45, 57, 37, 19, 47]"
2200,Assertive,"[32, 13, 27, 43]","[28, 26, 32, 21, 14, 36, 25, 35, 19, 15, 55, 33, 13, 27, 48, 43]"
2201,Assertive,"[27, 32, 37, 49, 11]","[40, 35, 27, 19, 34, 42, 33, 32, 29, 37, 38, 49, 22, 11]"
2202,Assertive,"[49, 43]","[15, 30, 19, 7, 24, 34, 22, 49, 28, 14, 43, 35, 40]"
2203,Balanced,"[11, 43, 6, 31]","[28, 15, 23, 11, 29, 43, 20, 24, 48, 6, 41, 49, 36, 44, 45, 27, 59, 38, 14, 31, 50, 25, 35]"
2204,Balanced,"[37, 33]","[54, 50, 16, 24, 48, 35, 26, 38, 34, 37, 51, 33]"
2205,Balanced,[33],"[38, 49, 33, 25, 7, 35, 47, 48, 44, 24, 15, 42, 23, 17, 16, 50, 51]"
2206,Assertive,"[32, 27, 23, 9, 49]","[32, 51, 54, 27, 57, 34, 42, 23, 33, 9, 49]"
2207,Balanced,"[43, 39]","[27, 38, 50, 48, 8, 43, 35, 25, 28, 23, 32, 59, 7, 30, 47, 36, 39]"
2208,Balanced,"[43, 33, 37]","[26, 29, 46, 35, 32, 9, 45, 43, 21, 18, 22, 33, 16, 25, 37, 42]"
2209,Assertive,"[12, 49, 11, 41, 37]","[31, 12, 49, 45, 11, 41, 16, 15, 37, 33, 17, 34, 40, 48]"
2210,Balanced,"[37, 33, 39, 31, 55]","[50, 53, 12, 41, 37, 52, 32, 47, 33, 10, 39, 14, 31, 55]"
2211,Aggressive,"[49, 24, 48, 16, 19, 27]","[21, 49, 17, 24, 40, 31, 29, 57, 48, 4, 47, 15, 16, 19, 53, 27, 37]"
2212,Balanced,"[33, 31, 37, 43]","[48, 27, 33, 32, 12, 30, 31, 24, 22, 45, 54, 47, 37, 43]"
2213,Balanced,"[31, 43, 33, 13]","[28, 27, 31, 42, 51, 43, 33, 47, 38, 20, 30, 16, 13, 29, 25]"
2214,Balanced,"[31, 60, 37]","[52, 45, 31, 30, 60, 37, 28, 44, 40]"
2215,Balanced,[55],"[54, 28, 40, 38, 27, 30, 16, 29, 25, 22, 36, 42, 55, 19]"
2216,Assertive,"[27, 37, 46, 43, 10, 32, 11, 9]","[25, 47, 27, 37, 55, 28, 26, 46, 43, 10, 32, 17, 30, 11, 48, 9]"
2217,Assertive,"[41, 27, 11, 23]","[41, 20, 36, 40, 27, 17, 42, 30, 35, 24, 26, 38, 11, 16, 50, 23, 31]"
2218,Balanced,[33],"[23, 45, 27, 24, 25, 41, 30, 35, 42, 16, 40, 28, 29, 33]"
2219,Balanced,"[33, 37]","[40, 36, 24, 49, 33, 46, 16, 12, 23, 35, 21, 20, 41, 45, 37, 34]"
2220,Assertive,"[43, 32, 23, 27, 10]","[43, 14, 34, 32, 40, 23, 27, 10, 57, 19, 47, 51, 22, 21, 45]"
2221,Assertive,"[49, 27, 37]","[35, 44, 19, 24, 20, 18, 49, 42, 17, 26, 34, 21, 29, 27, 45, 30, 31, 37]"
2222,Assertive,"[37, 43, 9]","[18, 37, 16, 36, 42, 35, 43, 57, 9, 30, 45, 17]"
2223,Balanced,"[43, 33]","[43, 26, 23, 38, 47, 46, 28, 20, 50, 12, 24, 15, 32, 49, 33, 34]"
2224,Assertive,"[39, 37, 49]","[15, 17, 39, 33, 26, 30, 37, 24, 44, 38, 29, 49, 31]"
2225,Balanced,[6],"[14, 48, 15, 40, 44, 32, 27, 25, 26, 41, 35, 20, 6, 24, 52]"
2226,Balanced,"[33, 39]","[16, 41, 54, 22, 36, 27, 33, 40, 28, 25, 47, 10, 46, 34, 39]"
2227,Balanced,"[11, 43, 37, 33, 39]","[7, 11, 43, 34, 40, 59, 44, 30, 37, 33, 9, 39, 22, 51, 28, 45, 20, 15, 16, 42]"
2228,Balanced,"[33, 39, 43, 31]","[41, 36, 28, 8, 33, 17, 46, 39, 38, 47, 42, 43, 40, 26, 18, 30, 25, 31]"
2229,Balanced,"[33, 37, 31]","[19, 50, 29, 21, 33, 37, 34, 14, 53, 59, 24, 31, 35, 46]"
2230,Assertive,"[12, 27, 32, 37]","[12, 31, 27, 34, 28, 36, 25, 29, 32, 37, 20, 45]"
2231,Assertive,[39],"[15, 59, 30, 19, 28, 34, 42, 14, 39, 57, 52, 40, 24, 29, 7]"
2232,Assertive,"[39, 27, 41, 46]","[36, 35, 39, 27, 30, 41, 14, 18, 28, 46, 33]"
2233,Assertive,"[13, 37, 23, 9, 27, 41, 46]","[13, 55, 34, 35, 38, 21, 24, 37, 23, 15, 9, 27, 40, 41, 33, 18, 17, 46]"
2234,Balanced,"[37, 13]","[36, 29, 32, 19, 21, 54, 15, 24, 28, 48, 37, 17, 20, 34, 35, 13, 30]"
2235,Assertive,"[13, 39]","[14, 22, 35, 25, 38, 18, 20, 13, 48, 39, 29, 28, 45]"
2236,Balanced,"[39, 37, 43]","[39, 40, 35, 20, 24, 47, 23, 37, 43, 17, 53, 32]"
2237,Balanced,"[31, 33, 39, 6, 43]","[31, 33, 39, 18, 6, 17, 21, 43, 52, 47]"
2238,Assertive,"[12, 41, 27]","[40, 17, 42, 33, 38, 12, 14, 51, 41, 52, 36, 22, 30, 27]"
2239,Balanced,"[11, 39, 33]","[28, 16, 50, 11, 10, 25, 42, 46, 39, 44, 41, 9, 7, 56, 18, 48, 45, 22, 33, 32, 34]"
2240,Balanced,[6],"[49, 46, 52, 38, 41, 40, 29, 17, 18, 48, 20, 26, 28, 23, 22, 36, 6, 32]"
